model,count
Passat,30961
Golf,30027
Andere,26376
3er,21198
A4,14312
Polo,13081
Corsa,12557
Astra,10821
C-Klasse,8766
5er,8541
A8,7615
A2,7593
E-Klasse,7554
Focus,5940
Fiesta,5769
Transporter,5524
Twingo,4949
2Reihe,4810
SLK,4505
Fortwo,4332
A-Klasse,4316
Vectra,4249
1er,3832
Mondeo,3620
Clio,3550
Touran,3536
X-Reihe,3532
3Reihe,3500
Punto,3347
Zafira,3043
Megane,2925
Ibiza,2701
Ka,2697
Lupo,2591
Q7,2352
C5,2232
Octavia,2192
Cooper,2123
Fabia,2077
S70,1893
Micra,1754
Caddy,1647
Avant,1610
Sharan,1555
Scenic,1446
Omega,1413
Leon,1374
Laguna,1363
Civic,1350
1Reihe,1306
6Reihe,1288
I-Reihe,1262
B-MAX,1177
Galaxy,1163
M-Klasse,1146
7er,1142
Meriva,1052
Yaris,1033
S-Klasse,1030
MX-Reihe,1019
Kangoo,957
911,954
B-Klasse,936
Vito,914
Tiguan,914
Escort,910
One,902
Arosa,898
Bora,872
Colt,869
Beetle,859
Berlingo,825
Sprinter,793
Tigra,788
Transit,764
Touareg,744
Fox,743
Swift,703
Insignia,699
Corolla,685
Panda,675
Seicento,669
Scirocco,637
Espace,620
Primera,620
Grand,608
Stilo,602
Almera,584
Avensis,567
Qashqai,548
Eos,536
Signum,493
Kaefer,470
5Reihe,451
Matiz,444
Ducato,436
Agila,430
Aygo,429
Viano,422
Getz,421
Combo,416
Carisma,414
Cayenne,409
Boxster,404
Alhambra,401
Cordoba,397
Superb,395
Kuga,387
Forfour,384
Rio,377
Jetta,376
Altea,373
Cuore,373
Kadett,366
Rav,364
Picanto,362
Sorento,359
M-Reihe,358
Accord,352
CR-Reihe,349
Up,348
Voyager,342
Toledo,342
Vivaro,342
Bravo,331
Santa,326
Doblo,324
RX-Reihe,321
Modus,321
Logan,321
Verso,312
PT-Cruiser,309
Sportage,307
Jazz,302
Fusion,299
Sandero,295
Mustang,284
Roomster,276
Carnival,273
RangeRover,264
6er,258
Ceed,258
Galant,257
Lancer,238
Tucson,238
Auris,237
Impreza,234
Phaeton,227
Freelander,226
Calibra,217
Pajero,217
X-Trail,215
Jimny,212
Spider,209
Ypsilon,208
Clubman,204
Duster,204
Yeti,198
C-Reihe,198
Roadster,181
Cherokee,180
G-Klasse,176
Captiva,173
V-Klasse,168
Wrangler,165
Legacy,160
300C,148
Defender,141
Sirion,139
Justy,139
Forester,133
Outlander,131
Note,130
Niva,129
S-Type,128
Spark,124
Navara,123
R19,123
CX-Reihe,120
Aveo,117
Antara,111
Discovery,104
Juke,103
Exeo,100
Kalos,95
Lanos,89
Citigo,89
Mii,81
Crossfire,65
Nubira,62
Move,60
Lybra,54
Croma,45
Amarok,42
Delta,40
Lodgy,35
Terios,35
Charade,27
Musa,25
Kalina,22
Materia,17
Kappa,15
Elefantino,11
Kleinwagen,3
