powerps,count
105,51189
75,23999
60,15885
150,15435
140,13572
101,13295
90,12731
116,11956
170,10976
125,7045
136,6945
102,6494
163,6282
54,5746
143,5541
122,5317
131,5175
110,4857
109,4814
50,4657
80,4040
120,3908
177,3884
58,3850
69,3651
115,3327
95,3022
45,2988
68,2826
184,2727
86,2712
193,2632
160,2564
179,2505
204,2462
218,2406
82,2312
231,2308
224,2265
200,2218
65,2190
55,2109
306,1978
190,1719
192,1600
64,1569
88,1522
100,1511
129,1495
71,1444
174,1399
107,1365
211,1291
118,1250
147,1191
197,1188
245,1134
70,1090
239,1051
98,1031
145,1021
61,988
103,985
155,977
156,974
84,962
114,948
250,939
113,936
165,929
272,920
130,918
77,898
135,864
235,813
286,808
220,805
180,804
87,785
73,766
232,736
141,726
265,723
144,694
133,656
185,644
99,610
85,598
111,551
97,535
126,532
230,500
72,492
132,453
258,453
92,446
41,442
67,440
106,433
300,420
128,414
44,407
63,402
175,396
94,390
74,374
83,373
121,373
340,354
241,335
280,326
40,323
52,321
26,290
139,288
320,284
333,276
56,274
299,273
313,271
260,259
76,254
166,247
59,247
326,234
151,233
124,225
207,222
117,215
279,212
78,211
173,210
53,209
158,206
205,199
112,194
256,193
387,191
34,190
209,189
66,189
194,186
226,184
108,169
420,164
146,150
400,149
240,148
310,147
39,145
79,143
104,141
450,139
225,138
57,134
96,134
81,126
500,123
305,122
169,121
171,121
203,118
91,117
354,116
43,115
344,114
355,114
360,113
325,113
275,113
349,112
367,112
408,112
292,111
182,109
238,108
271,107
152,106
89,106
385,105
167,103
178,102
210,98
48,97
62,96
201,94
51,93
148,92
215,91
334,88
188,87
290,85
252,82
137,82
295,81
142,81
345,80
343,80
196,76
435,75
330,74
164,67
154,66
315,62
233,61
134,60
149,59
186,59
33,58
476,58
46,57
176,54
18,54
223,53
507,53
138,52
37,52
457,51
42,50
525,50
270,50
119,50
199,49
212,49
213,47
350,46
264,45
23,45
208,45
162,44
181,43
234,42
198,42
284,42
189,41
228,40
27,40
249,40
195,39
29,35
347,34
381,34
172,33
47,33
161,33
321,33
123,32
93,32
30,32
24,31
127,31
168,31
405,30
222,30
480,29
298,29
183,29
11,28
157,28
273,27
329,27
510,27
396,27
254,27
237,27
243,27
309,25
328,24
276,24
49,24
12,24
216,23
191,22
560,22
38,22
514,22
20,22
314,21
431,21
14,21
15,21
487,20
430,20
380,19
285,19
379,19
394,19
247,19
390,19
579,18
551,18
322,18
436,17
10,17
268,17
277,17
388,17
363,16
25,16
217,15
262,15
159,15
19,15
253,15
370,14
187,14
564,14
303,14
600,14
278,14
206,13
214,13
301,13
287,13
219,13
311,13
269,13
351,13
375,12
227,12
445,12
421,12
404,12
266,12
335,12
364,12
517,11
585,11
283,11
236,11
409,11
35,11
281,11
16,11
255,11
242,10
449,10
571,10
401,10
570,10
324,9
521,9
612,9
296,9
489,9
557,9
36,9
259,9
540,9
274,9
31,9
426,9
13,8
530,8
246,8
1000,8
17,8
371,8
289,8
153,8
318,8
485,8
432,8
620,8
650,7
416,7
460,7
386,7
368,7
382,7
288,7
317,7
506,7
202,7
439,6
21,6
341,6
751,6
519,6
365,6
1001,6
610,6
28,6
455,6
555,6
307,6
22,5
580,5
257,5
398,5
441,5
411,5
32,5
700,5
999,5
415,5
377,5
304,5
549,5
221,5
261,5
327,5
603,5
504,4
352,4
244,4
950,4
399,4
440,4
625,4
374,4
362,4
900,4
750,4
338,4
466,4
248,4
316,3
575,3
336,3
229,3
308,3
544,3
346,3
550,3
428,3
800,3
357,3
423,3
358,3
678,3
606,3
515,3
294,3
601,3
392,3
1011,3
267,3
520,3
1200,2
529,2
383,2
850,2
1021,2
402,2
495,2
505,2
851,2
631,2
348,2
604,2
373,2
1003,2
470,2
574,2
481,2
1016,2
492,2
1005,2
1103,2
630,2
407,2
799,2
483,2
909,2
475,2
353,2
599,2
702,2
559,2
293,2
251,2
356,2
659,2
629,2
572,2
443,2
776,1
670,1
583,1
545,1
901,1
871,1
339,1
1120,1
672,1
312,1
1082,1
607,1
1162,1
459,1
361,1
1199,1
454,1
721,1
323,1
923,1
1004,1
582,1
1012,1
417,1
732,1
682,1
508,1
1100,1
998,1
1079,1
704,1
754,1
1149,1
1160,1
1158,1
801,1
1017,1
424,1
442,1
376,1
366,1
907,1
645,1
748,1
743,1
952,1
513,1
902,1
359,1
397,1
501,1
671,1
953,1
547,1
644,1
666,1
518,1
581,1
676,1
532,1
1056,1
1164,1
1105,1
1115,1
1055,1
434,1
960,1
963,1
541,1
1102,1
674,1
297,1
1090,1
282,1
602,1
632,1
805,1
502,1
1062,1
1024,1
696,1
490,1
477,1
780,1
528,1
651,1
640,1
903,1
680,1
453,1
425,1
332,1
703,1
1002,1
685,1
1151,1
462,1
1054,1
331,1
584,1
553,1
771,1
619,1
1111,1
589,1
468,1
337,1
319,1
587,1
808,1
740,1
888,1
473,1
